name,date,cases,hospitalizations,deaths,level
New London,2020-03-22,3,1,0,county
Tolland,2020-03-22,14,2,2,county
Windham,2020-03-22,1,0,0,county
Connecticut,2020-03-23,415,54,10,state
Fairfield,2020-03-23,270,20,6,county
Hartford,2020-03-23,61,13,2,county
Litchfield,2020-03-23,13,2,0,county
Middlesex,2020-03-23,8,4,0,county
New Haven,2020-03-23,41,12,0,county
New London,2020-03-23,4,1,0,county
Tolland,2020-03-23,16,2,2,county
Windham,2020-03-23,2,0,0,county
Connecticut,2020-03-24,618,71,12,state
Fairfield,2020-03-24,384,23,7,county
Hartford,2020-03-24,88,17,2,county
Litchfield,2020-03-24,22,3,0,county
Middlesex,2020-03-24,8,4,0,county
New Haven,2020-03-24,89,19,0,county
New London,2020-03-24,6,1,0,county
Tolland,2020-03-24,19,4,3,county
Windham,2020-03-24,2,0,0,county
Connecticut,2020-03-25,883,113,19,state
Fairfield,2020-03-25,546,47,12,county
Hartford,2020-03-25,116,24,2,county
Litchfield,2020-03-25,33,3,0,county
Middlesex,2020-03-25,15,4,0,county
New Haven,2020-03-25,127,28,2,county
New London,2020-03-25,9,2,0,county
Tolland,2020-03-25,27,5,3,county
Windham,2020-03-25,2,0,0,county
Connecticut,2020-03-26,1012,125,21,state
Fairfield,2020-03-26,607,49,13,county
Hartford,2020-03-26,138,27,2,county
Litchfield,2020-03-26,44,3,0,county
Middlesex,2020-03-26,18,5,1,county
New Haven,2020-03-26,156,34,2,county
New London,2020-03-26,13,2,0,county
Tolland,2020-03-26,33,5,3,county
Windham,2020-03-26,3,0,0,county
Connecticut,2020-03-27,1291,173,27,state
Fairfield,2020-03-27,752,68,15,county
Hartford,2020-03-27,189,36,2,county
Litchfield,2020-03-27,52,9,0,county
Middlesex,2020-03-27,25,5,1,county
New Haven,2020-03-27,222,46,6,county
New London,2020-03-27,15,2,0,county
Tolland,2020-03-27,33,7,3,county
Windham,2020-03-27,3,0,0,county
Connecticut,2020-03-28,1524,205,33,state
Fairfield,2020-03-28,908,88,20,county
Hartford,2020-03-28,228,41,2,county
Litchfield,2020-03-28,65,12,0,county
Middlesex,2020-03-28,28,5,1,county
New Haven,2020-03-28,236,50,6,county
New London,2020-03-28,19,2,0,county
Tolland,2020-03-28,37,7,4,county
Windham,2020-03-28,3,0,0,county
Connecticut,2020-03-29,1993,205,34,state
Fairfield,2020-03-29,1245,189,21,county
Hartford,2020-03-29,276,67,2,county
Litchfield,2020-03-29,87,5,0,county
Middlesex,2020-03-29,38,1,1,county
New Haven,2020-03-29,280,137,6,county
New London,2020-03-29,20,4,0,county
Tolland,2020-03-29,40,0,4,county
Windham,2020-03-29,7,1,0,county
Connecticut,2020-03-30,2571,517,36,state
Fairfield,2020-03-30,1445,101,21,county
Hartford,2020-03-30,330,59,3,county
Litchfield,2020-03-30,113,18,1,county
Middlesex,2020-03-30,50,6,1,county
New Haven,2020-03-30,373,55,6,county
New London,2020-03-30,24,4,0,county
Tolland,2020-03-30,50,7,4,county
Windham,2020-03-30,10,0,0,county
Connecticut,2020-03-31,3128,608,69,state
Fairfield,2020-03-31,1870,275,38,county
Hartford,2020-03-31,393,110,7,county
Litchfield,2020-03-31,121,7,1,county
Middlesex,2020-03-31,56,5,1,county
New Haven,2020-03-31,517,202,12,county
New London,2020-03-31,27,8,1,county
Tolland,2020-03-31,56,1,7,county
Windham,2020-03-31,11,0,0,county
Connecticut,2020-04-01,3557,766,85,state
Fairfield,2020-04-01,1986,359,46,county
Hartford,2020-04-01,469,126,11,county
Litchfield,2020-04-01,131,11,1,county
Middlesex,2020-04-01,66,8,2,county
New Haven,2020-04-01,611,251,15,county
New London,2020-04-01,29,10,1,county
Tolland,2020-04-01,61,1,7,county
Windham,2020-04-01,19,0,0,county
Connecticut,2020-04-02,3824,827,112,state
Fairfield,2020-04-02,2132,381,65,county
Hartford,2020-04-02,539,136,13,county
Litchfield,2020-04-02,141,11,2,county
Middlesex,2020-04-02,74,11,3,county
New Haven,2020-04-02,647,274,17,county
New London,2020-04-02,29,9,1,county
Tolland,2020-04-02,67,2,10,county
Windham,2020-04-02,21,3,0,county
Connecticut,2020-04-03,4914,909,131,state
Fairfield,2020-04-03,2716,409,75,county
Hartford,2020-04-03,679,166,18,county
Litchfield,2020-04-03,173,14,4,county
Middlesex,2020-04-03,91,12,2,county
New Haven,2020-04-03,891,293,18,county
New London,2020-04-03,40,9,3,county
Tolland,2020-04-03,79,3,10,county
Windham,2020-04-03,27,3,0,county
Connecticut,2020-04-04,5276,1033,165,state
Fairfield,2020-04-04,2824,475,86,county
Hartford,2020-04-04,726,184,26,county
Litchfield,2020-04-04,182,15,5,county
Middlesex,2020-04-04,100,19,4,county
New Haven,2020-04-04,1024,324,29,county
New London,2020-04-04,57,10,3,county
Tolland,2020-04-04,91,3,10,county
Windham,2020-04-04,31,3,1,county
Connecticut,2020-04-05,5675,1142,189,state
Fairfield,2020-04-05,3050,531,96,county
Hartford,2020-04-05,751,189,29,county
Litchfield,2020-04-05,197,15,6,county
Middlesex,2020-04-05,110,19,5,county
New Haven,2020-04-05,1162,372,36,county
New London,2020-04-05,57,10,4,county
Tolland,2020-04-05,94,3,11,county
Windham,2020-04-05,32,3,1,county
Connecticut,2020-04-06,6906,1221,206,state
Fairfield,2020-04-06,3719,572,101,county
Hartford,2020-04-06,882,213,31,county
Litchfield,2020-04-06,230,15,8,county
Middlesex,2020-04-06,135,22,7,county
New Haven,2020-04-06,1468,384,41,county
New London,2020-04-06,65,10,4,county
Tolland,2020-04-06,103,3,13,county
Windham,2020-04-06,40,2,1,county
Connecticut,2020-04-07,7781,1308,277,state
Fairfield,2020-04-07,4136,613,132,county
Hartford,2020-04-07,1045,243,48,county
Litchfield,2020-04-07,255,17,9,county
Middlesex,2020-04-07,150,26,7,county
New Haven,2020-04-07,1664,390,60,county
New London,2020-04-07,85,12,4,county
Tolland,2020-04-07,111,4,13,county
Windham,2020-04-07,43,3,1,county
Connecticut,2020-04-08,8781,1418,335,state
Fairfield,2020-04-08,4417,665,155,county
Hartford,2020-04-08,1290,251,68,county
Litchfield,2020-04-08,292,20,12,county
Middlesex,2020-04-08,174,28,9,county
New Haven,2020-04-08,1945,428,70,county
New London,2020-04-08,120,16,5,county
Tolland,2020-04-08,128,7,13,county
Windham,2020-04-08,49,3,1,county
Connecticut,2020-04-09,9784,1464,380,state
Fairfield,2020-04-09,4882,664,178,county
Hartford,2020-04-09,1471,276,75,county
Litchfield,2020-04-09,315,25,13,county
Middlesex,2020-04-09,205,26,14,county
New Haven,2020-04-09,2183,447,78,county
New London,2020-04-09,139,15,6,county
Tolland,2020-04-09,145,7,13,county
Windham,2020-04-09,52,4,1,county
Connecticut,2020-04-10,10538,1562,448,state
Fairfield,2020-04-10,5180,685,203,county
Hartford,2020-04-10,1615,296,88,county
Litchfield,2020-04-10,346,32,16,county
Middlesex,2020-04-10,240,28,17,county
New Haven,2020-04-10,2383,493,98,county
New London,2020-04-10,156,17,7,county
Tolland,2020-04-10,152,6,14,county
Windham,2020-04-10,59,5,1,county
Connecticut,2020-04-11,11510,1593,494,state
Fairfield,2020-04-11,5407,676,220,county
Hartford,2020-04-11,1832,311,101,county
Litchfield,2020-04-11,388,38,20,county
Middlesex,2020-04-11,290,27,18,county
New Haven,2020-04-11,2715,514,107,county
New London,2020-04-11,185,16,7,county
Tolland,2020-04-11,171,7,15,county
Windham,2020-04-11,66,4,1,county
Connecticut,2020-04-12,12035,1654,554,state
Fairfield,2020-04-12,5534,688,248,county
Hartford,2020-04-12,1914,333,116,county
Litchfield,2020-04-12,403,39,24,county
Middlesex,2020-04-12,299,32,18,county
New Haven,2020-04-12,2946,535,119,county
New London,2020-04-12,190,16,7,county
Tolland,2020-04-12,182,7,17,county
Windham,2020-04-12,66,4,1,county
Connecticut,2020-04-13,13381,1760,602,state
Fairfield,2020-04-13,6004,710,262,county
Hartford,2020-04-13,2243,361,133,county
Litchfield,2020-04-13,446,37,24,county
Middlesex,2020-04-13,339,35,19,county
New Haven,2020-04-13,3358,580,135,county
New London,2020-04-13,222,20,7,county
Tolland,2020-04-13,195,13,17,county
Windham,2020-04-13,83,4,1,county
Connecticut,2020-04-14,13989,1779,671,state
Fairfield,2020-04-14,6213,731,287,county
Hartford,2020-04-14,2370,369,153,county
Litchfield,2020-04-14,460,35,29,county
Middlesex,2020-04-14,355,38,21,county
New Haven,2020-04-14,3543,572,151,county
New London,2020-04-14,227,17,7,county
Tolland,2020-04-14,201,12,18,county
Windham,2020-04-14,87,5,1,county
Connecticut,2020-04-15,14755,1908,868,state
Fairfield,2020-04-15,6480,784,365,county
Hartford,2020-04-15,2570,402,213,county
Litchfield,2020-04-15,490,32,35,county
Middlesex,2020-04-15,379,40,28,county
New Haven,2020-04-15,3758,612,195,county
New London,2020-04-15,236,21,7,county
Tolland,2020-04-15,216,11,22,county
Windham,2020-04-15,89,6,1,county
Connecticut,2020-04-16,15884,1926,971,state
Fairfield,2020-04-16,6816,787,406,county
Hartford,2020-04-16,2859,420,243,county
Litchfield,2020-04-16,535,27,44,county
Middlesex,2020-04-16,394,39,30,county
New Haven,2020-04-16,4163,613,214,county
New London,2020-04-16,255,23,9,county
Tolland,2020-04-16,241,11,22,county
Windham,2020-04-16,87,6,1,county
Connecticut,2020-04-17,16809,1946,1036,state
Fairfield,2020-04-17,7146,797,425,county
Hartford,2020-04-17,3015,410,266,county
Litchfield,2020-04-17,569,28,46,county
Middlesex,2020-04-17,422,37,32,county
New Haven,2020-04-17,4520,633,229,county
New London,2020-04-17,292,22,10,county
Tolland,2020-04-17,258,12,24,county
Windham,2020-04-17,92,7,2,county
Connecticut,2020-04-18,17550,1938,1086,state
Fairfield,2020-04-18,7363,776,432,county
Hartford,2020-04-18,3196,417,289,county
Litchfield,2020-04-18,593,30,48,county
