Town,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,04/09/20,04/10/20,04/11/20,04/12/20,04/13/20,04/14/20,04/15/20,04/16/20,04/17/20,4/18/20,4/19/20
Easton,0,1,2,2,2,2,3,4,3,3,4,5,5,6,6,6,9,12,12,14,15,16,17,18,19,20,21,22,23,23
Ellington,0,0,0,0,0,0,0,0,1,2,2,4,4,7,7,8,9,10,10,12,12,13,13,13,14,15,16,17,23,22
Enfield,1,1,1,1,1,6,10,12,16,20,24,33,38,41,44,45,50,69,89,99,108,117,125,133,141,153,164,172,184,219
Essex,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,4,5,5,6,7,7,7,7,7,7,7,8,10,10,11
Fairfield,4,7,8,9,13,16,18,21,29,35,40,47,51,62,66,70,85,94,113,141,156,173,180,197,200,220,246,253,257,261
Farmington,1,2,3,5,8,8,11,11,12,15,15,15,16,20,21,23,30,33,35,47,51,56,56,56,57,60,60,62,65,65
Franklin,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
Glastonbury,1,4,5,6,7,8,8,8,11,12,12,13,14,18,20,21,26,35,38,43,49,58,59,69,72,84,86,90,98,106
Goshen,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4
Granby,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,7,7,7,7,7,7,8,7,7,7,7,8
Greenwich,23,31,31,41,54,57,77,79,93,114,149,157,170,189,191,196,221,228,247,288,294,307,308,324,328,349,364,370,372,372
Griswold,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,4,4,5,5,6,5,7,8,9,9,9
Groton,0,0,0,0,1,1,1,2,2,2,2,2,2,3,5,5,6,8,11,13,13,17,17,21,21,20,21,28,29,30
Guilford,2,2,2,2,2,2,3,3,3,3,5,5,5,9,11,15,20,23,25,28,29,33,33,38,41,41,44,50,51,51
Haddam,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,5,7,7,9,11,11,13,14,14,15
Hamden,0,1,1,4,6,7,11,11,14,28,47,56,55,61,69,84,109,121,142,159,176,205,227,263,269,288,324,359,381,391
Hampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hartford,8,11,11,14,20,21,21,28,39,49,65,74,90,125,125,125,147,165,227,270,300,357,366,432,458,492,537,567,591,616
Hartland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Harwinton,0,0,1,2,4,4,4,4,4,4,4,4,4,5,5,5,6,6,7,7,7,9,9,10,10,11,13,14,15,14
Hebron,0,0,0,0,0,1,1,1,1,3,3,4,4,4,4,4,5,5,6,7,7,9,9,7,7,7,8,10,10,11
Kent,0,0,0,1,1,1,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6
Killingly,0,0,0,0,0,1,1,1,2,2,2,2,2,2,3,3,6,6,6,6,7,9,9,10,11,12,12,13,14,15
Killingworth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,5,8,8,9,9
Lebanon,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,4,5,6,6,7,7,8,8,8,9,9,9,9
Ledyard,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,3,4,4,3,3,3,3,5,6,6,6,7,7,8
Lisbon,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,6,4,4,4,4,4
Litchfield,2,2,2,2,2,2,2,2,2,3,3,4,4,6,7,8,9,9,11,11,11,12,13,13,13,12,12,10,11,12
Lyme,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Madison,1,1,1,3,3,3,6,6,7,8,11,12,12,14,14,17,22,24,25,32,34,37,39,41,41,43,44,46,46,49
Manchester,1,4,5,5,6,8,12,12,16,19,23,28,36,51,61,62,80,87,103,110,120,134,136,152,159,167,194,204,214,228
Mansfield,0,1,1,1,1,1,1,1,0,1,1,1,1,2,2,2,2,3,4,5,5,6,6,6,7,6,7,9,9,9
Marlborough,0,0,0,0,0,0,2,2,2,2,2,3,3,3,5,5,5,5,7,8,9,9,10,13,14,15,15,16,17,19
Meriden,1,1,2,3,7,8,9,14,16,21,24,31,31,40,46,47,64,68,79,84,101,110,113,145,152,158,169,175,186,191
Middlebury,0,0,0,0,1,1,2,2,5,6,7,7,8,10,10,10,10,11,14,14,14,15,15,17,16,18,19,19,19,19
Middlefield,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,3,5,6,6,7,7,7,7,7,7,8
Middletown,1,1,1,1,2,3,6,6,12,18,19,24,29,35,42,42,52,56,64,77,94,117,120,142,151,163,168,186,200,207
Milford,2,2,3,6,8,8,15,11,12,15,17,20,23,56,58,63,77,113,130,154,172,187,205,224,241,267,304,325,338,343
Monroe,0,0,1,2,3,4,6,6,6,6,8,9,9,10,10,10,10,19,23,32,34,35,36,36,37,40,47,50,53,54
Montville,0,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,3,13,14,15,18,19,19,19,21,24,39,39,39
Morris,0,0,0,1,1,1,1,1,1,1,1,1,2,3,2,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5
Naugatuck,0,0,0,2,3,6,7,7,7,7,9,13,13,20,26,28,37,38,50,56,60,69,71,81,86,90,94,99,103,103
New Britain,1,2,2,5,6,8,11,15,20,26,27,32,36,48,49,49,57,66,87,94,102,123,136,166,176,185,202,217,239,252
New Canaan,5,5,9,11,15,17,18,20,29,34,41,43,51,61,62,65,73,78,79,81,83,87,89,91,96,99,101,101,102,102
New Fairfield,1,3,4,7,12,13,16,17,25,30,30,32,32,47,49,51,57,61,62,62,63,65,65,67,68,68,69,71,72,72
New Hartford,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,6,7,7,9,9,10,10,10,10,11,11,12
New Haven,6,7,8,22,29,32,52,53,56,73,121,135,133,174,190,234,319,365,413,461,477,552,618,697,726,776,864,932,1001,1041
New London,0,0,0,0,0,0,1,1,1,1,2,2,3,6,12,11,12,13,16,21,22,26,27,33,35,38,43,44,49,53
New Milford,2,2,2,2,6,6,10,14,24,34,35,35,37,50,55,65,74,81,83,85,87,87,87,94,96,97,103,114,120,120
Newington,3,4,4,8,9,10,14,19,21,24,26,28,28,32,34,35,37,42,47,51,60,63,66,83,84,91,112,117,126,131
Newtown,0,1,1,5,12,14,16,22,26,28,33,33,33,48,48,49,53,55,54,55,58,60,60,60,64,61,64,66,67,68
Norfolk,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,4,4,4
North Branford,0,0,0,0,0,0,0,0,1,2,5,5,5,8,9,11,12,13,14,15,16,20,21,24,25,25,30,39,41,44
North Canaan,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,4,4,3,3,2,2,2
North Haven,0,0,0,0,0,0,1,2,2,2,9,13,10,15,15,23,29,29,35,43,44,58,61,74,77,78,95,109,117,120
North Stonington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Norwalk,11,17,28,46,66,76,105,139,226,271,302,315,330,435,464,503,595,625,644,671,690,706,712,747,773,803,821,844,857,858
Norwich,0,1,1,2,2,2,2,2,2,2,2,2,2,3,5,5,6,6,8,12,13,15,13,19,22,22,24,26,26,26
Old Lyme,0,0,0,0,1,0,0,0,1,1,1,1,1,3,3,3,3,3,3,5,7,8,8,9,9,9,9,9,9,9
Old Saybrook,0,0,0,0,3,3,4,4,4,5,5,5,5,5,5,5,7,8,9,11,13,15,16,16,16,16,16,17,19,18
Orange,0,0,1,2,3,3,6,6,7,7,7,8,8,8,10,13,15,19,20,22,24,25,27,33,36,34,36,37,38,39
Oxford,1,1,2,2,3,5,5,5,7,8,11,12,13,18,21,21,22,24,25,29,30,33,37,38,42,43,45,46,45,45
Plainfield,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,4,6,7,7,9,9,9,9,10,11,11
Plainville,1,1,1,1,1,1,3,3,5,7,7,7,10,11,11,11,13,16,19,23,29,31,31,41,42,44,50,55,60,61
Plymouth,0,0,0,1,1,1,1,1,1,2,2,2,3,3,4,4,7,9,13,14,16,19,22,25,26,27,30,31,31,31
Pomfret,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,4,4,5,5,5,5,5,6,6,6,6,6,6,7
Portland,1,1,1,1,2,2,2,2,2,3,3,3,4,6,7,8,10,13,15,19,23,28,28,30,30,31,31,33,36,36
Preston,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3
Prospect,0,0,0,1,1,1,1,1,2,3,4,5,8,11,12,12,13,15,16,16,17,20,20,21,21,21,22,23,24,24
Putnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,4,4,6,6,6,6,6,6,6
Redding,0,0,1,2,6,7,7,13,16,16,16,16,16,20,20,21,21,23,26,28,28,28,28,29,29,30,30,30,30,32
Ridgefield,6,9,13,34,41,43,46,59,69,74,77,78,78,88,93,101,109,111,114,118,121,124,124,126,127,130,130,134,137,137
Rocky Hill,5,7,8,8,8,9,11,14,14,15,17,20,22,26,28,29,31,45,50,58,62,63,65,77,84,101,104,108,121,130
Roxbury,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4
Salem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3
Salisbury,0,0,1,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5
Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seymour,0,0,1,2,5,5,5,5,9,10,13,15,17,20,23,27,32,34,42,46,50,66,72,78,82,84,96,97,103,107
Sharon,0,1,1,1,1,2,2,3,3,3,3,3,4,6,6,6,6,6,6,6,7,7,8,8,8,8,10,10,10,10
Shelton,2,1,1,5,6,13,18,20,24,31,46,55,59,78,93,113,124,140,161,190,206,217,228,249,260,278,293,304,315,316
Sherman,0,0,0,1,2,2,2,3,3,4,4,4,4,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Simsbury,0,0,0,0,3,3,4,5,5,5,7,9,9,9,10,10,11,15,21,21,22,22,22,33,35,41,42,43,45,47
Somers,0,0,0,0,0,0,0,0,0,2,4,4,6,7,8,8,9,11,15,18,17,19,19,20,21,22,26,27,28,28
South Windsor,1,2,2,3,3,4,4,4,7,8,9,10,12,15,14,14,16,18,22,27,28,30,32,37,37,41,46,48,47,48
Southbury,2,2,2,4,5,6,5,7,7,11,13,13,14,19,20,21,28,30,36,38,44,53,63,67,72,78,81,88,88,92
Southington,3,3,3,6,8,8,13,16,16,16,19,25,27,33,37,37,41,49,58,66,72,83,85,89,93,97,104,106,113,119
Sprague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2
Stafford,3,7,8,8,11,14,14,14,15,17,17,17,19,21,27,27,28,29,31,33,33,37,37,38,38,46,52,52,52,54
Stamford,19,25,30,34,48,60,76,86,126,157,401,437,508,589,604,652,888,1000,1045,1113,1189,1245,1289,1486,1525,1583,1620,1713,1748,1758
Sterling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
Stonington,0,0,1,1,1,1,1,1,1,1,2,2,2,3,6,6,6,9,15,14,13,19,19,19,18,21,18,18,18,20
Stratford,2,3,3,7,11,12,17,18,22,27,31,34,38,49,54,58,84,120,147,196,223,235,241,265,281,297,326,351,384,392
Suffield,2,2,2,2,4,6,7,7,7,7,9,14,18,19,20,20,20,23,27,29,30,35,37,40,41,43,66,67,68,69
Thomaston,2,2,1,1,2,6,5,5,5,6,7,7,8,10,11,12,12,16,18,20,22,24,24,26,27,27,28,29,31,30
Thompson,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,2,4,4,4,4,4,7,8,8,8,9,10,10
