name,date,cases,hospitalizations,deaths
Windham,03/26/20,3,0,0
Connecticut,03/26/20,1012,125,21
Fairfield,03/27/20,752,68,15
Hartford,03/27/20,189,36,2
Litchfield,03/27/20,52,9,0
Middlesex,03/27/20,25,5,1
New Haven,03/27/20,222,46,6
New London,03/27/20,15,2,0
Tolland,03/27/20,33,7,3
Windham,03/27/20,3,0,0
Connecticut,03/27/20,1291,173,27
Fairfield,03/28/20,908,88,20
Hartford,03/28/20,228,41,2
Litchfield,03/28/20,65,12,0
Middlesex,03/28/20,28,5,1
New Haven,03/28/20,236,50,6
New London,03/28/20,19,2,0
Tolland,03/28/20,37,7,4
Windham,03/28/20,3,0,0
Connecticut,03/28/20,1524,205,33
Fairfield,03/29/20,1245,189,21
Hartford,03/29/20,276,67,2
Litchfield,03/29/20,87,5,0
Middlesex,03/29/20,38,1,1
New Haven,03/29/20,280,137,6
New London,03/29/20,20,4,0
Tolland,03/29/20,40,0,4
Windham,03/29/20,7,1,0
Connecticut,03/29/20,1993,404,34
Fairfield,03/30/20,1445,230,21
Hartford,03/30/20,330,96,3
Litchfield,03/30/20,113,7,1
Middlesex,03/30/20,50,1,1
New Haven,03/30/20,373,176,6
New London,03/30/20,24,5,0
Tolland,03/30/20,50,2,4
Windham,03/30/20,10,0,0
Pending address validation,03/30/20,176,,0
Connecticut,03/30/20,2571,517,36
Fairfield,03/31/20,1870,275,38
Hartford,03/31/20,393,110,7
Litchfield,03/31/20,121,7,1
Middlesex,03/31/20,56,5,1
New Haven,03/31/20,517,202,12
New London,03/31/20,27,8,1
Tolland,03/31/20,56,1,7
Windham,03/31/20,11,0,0
Pending address validation,03/31/20,77,,2
Connecticut,03/31/20,3128,608,69
Fairfield,04/01/20,1986,359,46
Hartford,04/01/20,469,126,11
Litchfield,04/01/20,131,11,1
Middlesex,04/01/20,66,8,2
New Haven,04/01/20,611,251,15
New London,04/01/20,29,10,1
Tolland,04/01/20,61,1,7
Windham,04/01/20,19,0,0
Pending address validation,04/01/20,185,,2
Connecticut,04/01/20,3557,766,85
Fairfield,04/02/20,2132,381,65
Hartford,04/02/20,539,136,13
Litchfield,04/02/20,141,11,2
Middlesex,04/02/20,74,11,3
New Haven,04/02/20,647,274,17
New London,04/02/20,29,9,1
Tolland,04/02/20,67,2,10
Windham,04/02/20,21,3,0
Pending address validation,04/02/20,174,,1
Connecticut,04/02/20,3824,827,112
