town,pop,first_doses,date
Fairfield,62045,40886,2021-06-16T00:00:00Z
Farmington,25497,19177,2021-06-16T00:00:00Z
Franklin,1920,1130,2021-06-16T00:00:00Z
Glastonbury,34482,25133,2021-06-16T00:00:00Z
Goshen,2863,1862,2021-06-16T00:00:00Z
Granby,11507,7401,2021-06-16T00:00:00Z
Greenwich,62840,41752,2021-06-16T00:00:00Z
Griswold,11534,5570,2021-06-16T00:00:00Z
Groton,38436,20085,2021-06-16T00:00:00Z
Guilford,22133,16247,2021-06-16T00:00:00Z
Haddam,8193,5743,2021-06-16T00:00:00Z
Hamden,60556,35859,2021-06-16T00:00:00Z
Hampton,1842,1027,2021-06-16T00:00:00Z
Hartford,122105,51092,2021-06-16T00:00:00Z
Hartland,2120,1117,2021-06-16T00:00:00Z
Harwinton,5420,3312,2021-06-16T00:00:00Z
Hebron,9504,6133,2021-06-16T00:00:00Z
Kent,2777,2215,2021-06-16T00:00:00Z
Killingly,17336,8255,2021-06-16T00:00:00Z
Killingworth,6364,4285,2021-06-16T00:00:00Z
Lebanon,7144,4228,2021-06-16T00:00:00Z
Ledyard,14621,8557,2021-06-16T00:00:00Z
Lisbon,4220,2334,2021-06-16T00:00:00Z
Litchfield,8094,5370,2021-06-16T00:00:00Z
Lyme,2316,1876,2021-06-16T00:00:00Z
Madison,18030,13394,2021-06-16T00:00:00Z
Manchester,57584,33884,2021-06-16T00:00:00Z
Mansfield,25487,8728,2021-06-16T00:00:00Z
Marlborough,6335,4140,2021-06-16T00:00:00Z
Meriden,59395,33129,2021-06-16T00:00:00Z
Middlebury,7798,5258,2021-06-16T00:00:00Z
Middlefield,4374,2830,2021-06-16T00:00:00Z
Middletown,46258,30499,2021-06-16T00:00:00Z
Milford,54747,34862,2021-06-16T00:00:00Z
Monroe,19434,12419,2021-06-16T00:00:00Z
Montville,18508,9886,2021-06-16T00:00:00Z
Morris,2254,1292,2021-06-16T00:00:00Z
Naugatuck,31108,16942,2021-06-16T00:00:00Z
New Britain,72495,32516,2021-06-16T00:00:00Z
New Canaan,20233,14918,2021-06-16T00:00:00Z
New Fairfield,13878,8253,2021-06-16T00:00:00Z
New Hartford,6656,4153,2021-06-16T00:00:00Z
New Haven,130250,65863,2021-06-16T00:00:00Z
New London,26858,13535,2021-06-16T00:00:00Z
New Milford,26805,17498,2021-06-16T00:00:00Z
Newington,30014,20067,2021-06-16T00:00:00Z
Newtown,27891,18579,2021-06-16T00:00:00Z
Norfolk,1630,992,2021-06-16T00:00:00Z
North Branford,14146,9512,2021-06-16T00:00:00Z
North Canaan,3251,1752,2021-06-16T00:00:00Z
North Haven,23683,17601,2021-06-16T00:00:00Z
North Stonington,5196,2819,2021-06-16T00:00:00Z
Norwalk,88816,56898,2021-06-16T00:00:00Z
Norwich,38768,20056,2021-06-16T00:00:00Z
Old Lyme,7306,5295,2021-06-16T00:00:00Z
Old Saybrook,10061,8091,2021-06-16T00:00:00Z
Orange,13926,9432,2021-06-16T00:00:00Z
Oxford,13255,8180,2021-06-16T00:00:00Z
Plainfield,15125,7080,2021-06-16T00:00:00Z
Plainville,17534,10427,2021-06-16T00:00:00Z
Plymouth,11598,5917,2021-06-16T00:00:00Z
Pomfret,4203,2485,2021-06-16T00:00:00Z
Portland,9267,6177,2021-06-16T00:00:00Z
Preston,4625,2650,2021-06-16T00:00:00Z
Prospect,9702,5903,2021-06-16T00:00:00Z
Putnam,9389,4646,2021-06-16T00:00:00Z
Redding,9116,5737,2021-06-16T00:00:00Z
Ridgefield,24959,17414,2021-06-16T00:00:00Z
Rocky Hill,20115,13791,2021-06-16T00:00:00Z
Roxbury,2152,1590,2021-06-16T00:00:00Z
Salem,4083,2398,2021-06-16T00:00:00Z
Salisbury,3600,3141,2021-06-16T00:00:00Z
Scotland,1672,830,2021-06-16T00:00:00Z
Seymour,16437,9631,2021-06-16T00:00:00Z
Sharon,2689,1749,2021-06-16T00:00:00Z
Shelton,41129,25731,2021-06-16T00:00:00Z
Sherman,3630,2176,2021-06-16T00:00:00Z
Simsbury,25395,17931,2021-06-16T00:00:00Z
Somers,10784,5956,2021-06-16T00:00:00Z
South Windsor,26162,18377,2021-06-16T00:00:00Z
Southbury,19571,13655,2021-06-16T00:00:00Z
Southington,43834,28500,2021-06-16T00:00:00Z
Sprague,2859,1418,2021-06-16T00:00:00Z
Stafford,11893,5962,2021-06-16T00:00:00Z
Stamford,129638,86364,2021-06-16T00:00:00Z
Sterling,3782,1480,2021-06-16T00:00:00Z
Stonington,18559,12216,2021-06-16T00:00:00Z
Stratford,51849,29492,2021-06-16T00:00:00Z
Suffield,15814,9599,2021-06-16T00:00:00Z
Thomaston,7535,4356,2021-06-16T00:00:00Z
Thompson,9379,3884,2021-06-16T00:00:00Z
Tolland,14618,9642,2021-06-16T00:00:00Z
Torrington,34044,19640,2021-06-16T00:00:00Z
Trumbull,35673,24776,2021-06-16T00:00:00Z
Union,839,486,2021-06-16T00:00:00Z
Vernon,29359,18222,2021-06-16T00:00:00Z
Voluntown,2510,1334,2021-06-16T00:00:00Z
Wallingford,44326,29649,2021-06-16T00:00:00Z
Warren,1395,911,2021-06-16T00:00:00Z
Washington,3428,2557,2021-06-16T00:00:00Z
Waterbury,107568,48938,2021-06-16T00:00:00Z
Waterford,18746,12815,2021-06-16T00:00:00Z
Watertown,21578,13366,2021-06-16T00:00:00Z
West Hartford,62965,46628,2021-06-16T00:00:00Z
West Haven,54620,29984,2021-06-16T00:00:00Z
Westbrook,6869,4732,2021-06-16T00:00:00Z
Weston,10252,7310,2021-06-16T00:00:00Z
Westport,28491,19983,2021-06-16T00:00:00Z
Wethersfield,26008,18336,2021-06-16T00:00:00Z
Willington,5864,3214,2021-06-16T00:00:00Z
Wilton,18343,13454,2021-06-16T00:00:00Z
Winchester,10604,5592,2021-06-16T00:00:00Z
Windham,24561,11624,2021-06-16T00:00:00Z
Windsor,28733,18561,2021-06-16T00:00:00Z
Windsor Locks,12854,7462,2021-06-16T00:00:00Z
Wolcott,16587,9794,2021-06-16T00:00:00Z
Woodbridge,8750,6436,2021-06-16T00:00:00Z
Woodbury,9502,6203,2021-06-16T00:00:00Z
Woodstock,7858,4495,2021-06-16T00:00:00Z
Andover,3236,2013,2021-06-23T00:00:00Z
Ansonia,18654,9392,2021-06-23T00:00:00Z
Ashford,4255,2481,2021-06-23T00:00:00Z
Avon,18276,13966,2021-06-23T00:00:00Z
Barkhamsted,3606,2263,2021-06-23T00:00:00Z
Beacon Falls,6222,3679,2021-06-23T00:00:00Z
Berlin,20436,13187,2021-06-23T00:00:00Z
Bethany,5548,3600,2021-06-23T00:00:00Z
Bethel,19800,11771,2021-06-23T00:00:00Z
Bethlehem,3402,2005,2021-06-23T00:00:00Z
Bloomfield,21211,13809,2021-06-23T00:00:00Z
Bolton,4884,3162,2021-06-23T00:00:00Z
Bozrah,2726,1484,2021-06-23T00:00:00Z
Branford,27900,19472,2021-06-23T00:00:00Z
Bridgeport,144399,66260,2021-06-23T00:00:00Z
Bridgewater,1635,1180,2021-06-23T00:00:00Z
Bristol,59947,35364,2021-06-23T00:00:00Z
Brookfield,16973,11280,2021-06-23T00:00:00Z
Brooklyn,8272,4178,2021-06-23T00:00:00Z
Burlington,9704,6317,2021-06-23T00:00:00Z
Canaan,1053,1033,2021-06-23T00:00:00Z
Canterbury,5079,2614,2021-06-23T00:00:00Z
Canton,10254,6906,2021-06-23T00:00:00Z
Chaplin,2239,1179,2021-06-23T00:00:00Z
Cheshire,28937,20508,2021-06-23T00:00:00Z
Chester,4213,2844,2021-06-23T00:00:00Z
Clinton,12925,9177,2021-06-23T00:00:00Z
Colchester,15809,9871,2021-06-23T00:00:00Z
Colebrook,1400,888,2021-06-23T00:00:00Z
Columbia,5379,3370,2021-06-23T00:00:00Z
Cornwall,1362,1065,2021-06-23T00:00:00Z
Coventry,12407,7624,2021-06-23T00:00:00Z
Cromwell,13839,9933,2021-06-23T00:00:00Z
Danbury,84694,50598,2021-06-23T00:00:00Z
Darien,21728,15781,2021-06-23T00:00:00Z
Deep River,4443,3126,2021-06-23T00:00:00Z
Derby,12339,7890,2021-06-23T00:00:00Z
Durham,7165,4854,2021-06-23T00:00:00Z
East Granby,5140,3398,2021-06-23T00:00:00Z
East Haddam,8997,5418,2021-06-23T00:00:00Z
East Hampton,12800,7985,2021-06-23T00:00:00Z
East Hartford,49872,28662,2021-06-23T00:00:00Z
East Haven,28569,15846,2021-06-23T00:00:00Z
East Lyme,18462,12883,2021-06-23T00:00:00Z
East Windsor,11668,6559,2021-06-23T00:00:00Z
Eastford,1790,956,2021-06-23T00:00:00Z
Easton,7521,5084,2021-06-23T00:00:00Z
Ellington,16467,10164,2021-06-23T00:00:00Z
Enfield,43659,23474,2021-06-23T00:00:00Z
Essex,6668,5028,2021-06-23T00:00:00Z
Fairfield,62045,41139,2021-06-23T00:00:00Z
Farmington,25497,19336,2021-06-23T00:00:00Z
Franklin,1920,1133,2021-06-23T00:00:00Z
Glastonbury,34482,25286,2021-06-23T00:00:00Z
Goshen,2863,1867,2021-06-23T00:00:00Z
Granby,11507,7450,2021-06-23T00:00:00Z
Greenwich,62840,42043,2021-06-23T00:00:00Z
Griswold,11534,5641,2021-06-23T00:00:00Z
Groton,38436,20280,2021-06-23T00:00:00Z
Guilford,22133,16306,2021-06-23T00:00:00Z
Haddam,8193,5800,2021-06-23T00:00:00Z
Hamden,60556,36201,2021-06-23T00:00:00Z
Hampton,1842,1025,2021-06-23T00:00:00Z
Hartford,122105,52350,2021-06-23T00:00:00Z
Hartland,2120,1122,2021-06-23T00:00:00Z
Harwinton,5420,3338,2021-06-23T00:00:00Z
Hebron,9504,6176,2021-06-23T00:00:00Z
Kent,2777,2229,2021-06-23T00:00:00Z
Killingly,17336,8343,2021-06-23T00:00:00Z
Killingworth,6364,4308,2021-06-23T00:00:00Z
Lebanon,7144,4254,2021-06-23T00:00:00Z
Ledyard,14621,8609,2021-06-23T00:00:00Z
Lisbon,4220,2357,2021-06-23T00:00:00Z
Litchfield,8094,5406,2021-06-23T00:00:00Z
Lyme,2316,1880,2021-06-23T00:00:00Z
Madison,18030,13480,2021-06-23T00:00:00Z
Manchester,57584,34252,2021-06-23T00:00:00Z
Mansfield,25487,8776,2021-06-23T00:00:00Z
Marlborough,6335,4173,2021-06-23T00:00:00Z
Meriden,59395,33621,2021-06-23T00:00:00Z
Middlebury,7798,5281,2021-06-23T00:00:00Z
Middlefield,4374,2844,2021-06-23T00:00:00Z
Middletown,46258,30761,2021-06-23T00:00:00Z
Milford,54747,35097,2021-06-23T00:00:00Z
Monroe,19434,12509,2021-06-23T00:00:00Z
Montville,18508,9963,2021-06-23T00:00:00Z
Morris,2254,1346,2021-06-23T00:00:00Z
Naugatuck,31108,17114,2021-06-23T00:00:00Z
New Britain,72495,33042,2021-06-23T00:00:00Z
New Canaan,20233,15009,2021-06-23T00:00:00Z
New Fairfield,13878,8305,2021-06-23T00:00:00Z
New Hartford,6656,4187,2021-06-23T00:00:00Z
New Haven,130250,66755,2021-06-23T00:00:00Z
New London,26858,13751,2021-06-23T00:00:00Z
New Milford,26805,17614,2021-06-23T00:00:00Z
Newington,30014,20214,2021-06-23T00:00:00Z
Newtown,27891,18734,2021-06-23T00:00:00Z
Norfolk,1630,997,2021-06-23T00:00:00Z
North Branford,14146,9572,2021-06-23T00:00:00Z
North Canaan,3251,1769,2021-06-23T00:00:00Z
North Haven,23683,17712,2021-06-23T00:00:00Z
North Stonington,5196,2836,2021-06-23T00:00:00Z
Norwalk,88816,57669,2021-06-23T00:00:00Z
Norwich,38768,20324,2021-06-23T00:00:00Z
Old Lyme,7306,5314,2021-06-23T00:00:00Z
Old Saybrook,10061,8127,2021-06-23T00:00:00Z
Orange,13926,9503,2021-06-23T00:00:00Z
Oxford,13255,8244,2021-06-23T00:00:00Z
Plainfield,15125,7139,2021-06-23T00:00:00Z
Plainville,17534,10531,2021-06-23T00:00:00Z
Plymouth,11598,5968,2021-06-23T00:00:00Z
Pomfret,4203,2497,2021-06-23T00:00:00Z
Portland,9267,6212,2021-06-23T00:00:00Z
Preston,4625,2665,2021-06-23T00:00:00Z
Prospect,9702,5930,2021-06-23T00:00:00Z
Putnam,9389,4701,2021-06-23T00:00:00Z
Redding,9116,5776,2021-06-23T00:00:00Z
Ridgefield,24959,17520,2021-06-23T00:00:00Z
Rocky Hill,20115,13883,2021-06-23T00:00:00Z
Roxbury,2152,1598,2021-06-23T00:00:00Z
Salem,4083,2425,2021-06-23T00:00:00Z
Salisbury,3600,3147,2021-06-23T00:00:00Z
Scotland,1672,837,2021-06-23T00:00:00Z
Seymour,16437,9715,2021-06-23T00:00:00Z
Sharon,2689,1752,2021-06-23T00:00:00Z
Shelton,41129,26059,2021-06-23T00:00:00Z
Sherman,3630,2184,2021-06-23T00:00:00Z
Simsbury,25395,18035,2021-06-23T00:00:00Z
Somers,10784,5991,2021-06-23T00:00:00Z
South Windsor,26162,18521,2021-06-23T00:00:00Z
Southbury,19571,13720,2021-06-23T00:00:00Z
Southington,43834,28720,2021-06-23T00:00:00Z
Sprague,2859,1431,2021-06-23T00:00:00Z
Stafford,11893,6013,2021-06-23T00:00:00Z
Stamford,129638,87405,2021-06-23T00:00:00Z
Sterling,3782,1489,2021-06-23T00:00:00Z
Stonington,18559,12267,2021-06-23T00:00:00Z
Stratford,51849,29819,2021-06-23T00:00:00Z
Suffield,15814,9652,2021-06-23T00:00:00Z
Thomaston,7535,4401,2021-06-23T00:00:00Z
Thompson,9379,3937,2021-06-23T00:00:00Z
Tolland,14618,9700,2021-06-23T00:00:00Z
Torrington,34044,19849,2021-06-23T00:00:00Z
Trumbull,35673,24963,2021-06-23T00:00:00Z
Union,839,487,2021-06-23T00:00:00Z
Vernon,29359,18397,2021-06-23T00:00:00Z
Voluntown,2510,1347,2021-06-23T00:00:00Z
Wallingford,44326,29862,2021-06-23T00:00:00Z
Warren,1395,914,2021-06-23T00:00:00Z
Washington,3428,2570,2021-06-23T00:00:00Z
Waterbury,107568,49880,2021-06-23T00:00:00Z
Waterford,18746,12876,2021-06-23T00:00:00Z
Watertown,21578,13479,2021-06-23T00:00:00Z
West Hartford,62965,46930,2021-06-23T00:00:00Z
West Haven,54620,30376,2021-06-23T00:00:00Z
Westbrook,6869,4774,2021-06-23T00:00:00Z
Weston,10252,7360,2021-06-23T00:00:00Z
Westport,28491,20110,2021-06-23T00:00:00Z
Wethersfield,26008,18479,2021-06-23T00:00:00Z
Willington,5864,3238,2021-06-23T00:00:00Z
Wilton,18343,13555,2021-06-23T00:00:00Z
Winchester,10604,5661,2021-06-23T00:00:00Z
Windham,24561,11734,2021-06-23T00:00:00Z
Windsor,28733,18729,2021-06-23T00:00:00Z
Windsor Locks,12854,7535,2021-06-23T00:00:00Z
Wolcott,16587,9863,2021-06-23T00:00:00Z
Woodbridge,8750,6466,2021-06-23T00:00:00Z
Woodbury,9502,6234,2021-06-23T00:00:00Z
Woodstock,7858,4517,2021-06-23T00:00:00Z
Andover,3236,2020,2021-06-30T00:00:00Z
Ansonia,18654,9525,2021-06-30T00:00:00Z
Ashford,4255,2500,2021-06-30T00:00:00Z
Avon,18276,14076,2021-06-30T00:00:00Z
Barkhamsted,3606,2276,2021-06-30T00:00:00Z
Beacon Falls,6222,3715,2021-06-30T00:00:00Z
Berlin,20436,13251,2021-06-30T00:00:00Z
Bethany,5548,3615,2021-06-30T00:00:00Z
Bethel,19800,11842,2021-06-30T00:00:00Z
Bethlehem,3402,2014,2021-06-30T00:00:00Z
Bloomfield,21211,13921,2021-06-30T00:00:00Z
Bolton,4884,3181,2021-06-30T00:00:00Z
Bozrah,2726,1496,2021-06-30T00:00:00Z
Branford,27900,19614,2021-06-30T00:00:00Z
Bridgeport,144399,67511,2021-06-30T00:00:00Z
Bridgewater,1635,1181,2021-06-30T00:00:00Z
Bristol,59947,35701,2021-06-30T00:00:00Z
Brookfield,16973,11350,2021-06-30T00:00:00Z
Brooklyn,8272,4217,2021-06-30T00:00:00Z
Burlington,9704,6357,2021-06-30T00:00:00Z
Canaan,1053,1044,2021-06-30T00:00:00Z
Canterbury,5079,2645,2021-06-30T00:00:00Z
Canton,10254,6938,2021-06-30T00:00:00Z
Chaplin,2239,1191,2021-06-30T00:00:00Z
Cheshire,28937,20618,2021-06-30T00:00:00Z
Chester,4213,2859,2021-06-30T00:00:00Z
Clinton,12925,9238,2021-06-30T00:00:00Z
Colchester,15809,9952,2021-06-30T00:00:00Z
Colebrook,1400,900,2021-06-30T00:00:00Z
Columbia,5379,3385,2021-06-30T00:00:00Z
Cornwall,1362,1072,2021-06-30T00:00:00Z
Coventry,12407,7660,2021-06-30T00:00:00Z
Cromwell,13839,9992,2021-06-30T00:00:00Z
Danbury,84694,51355,2021-06-30T00:00:00Z
Darien,21728,15867,2021-06-30T00:00:00Z
Deep River,4443,3137,2021-06-30T00:00:00Z
Derby,12339,7984,2021-06-30T00:00:00Z
Durham,7165,4880,2021-06-30T00:00:00Z
East Granby,5140,3417,2021-06-30T00:00:00Z
East Haddam,8997,5613,2021-06-30T00:00:00Z
East Hampton,12800,8050,2021-06-30T00:00:00Z
East Hartford,49872,29025,2021-06-30T00:00:00Z
East Haven,28569,16063,2021-06-30T00:00:00Z
East Lyme,18462,12953,2021-06-30T00:00:00Z
East Windsor,11668,6614,2021-06-30T00:00:00Z
Eastford,1790,961,2021-06-30T00:00:00Z
Easton,7521,5131,2021-06-30T00:00:00Z
Ellington,16467,10245,2021-06-30T00:00:00Z
Enfield,43659,23677,2021-06-30T00:00:00Z
Essex,6668,5056,2021-06-30T00:00:00Z
Fairfield,62045,41398,2021-06-30T00:00:00Z
Farmington,25497,19467,2021-06-30T00:00:00Z
Franklin,1920,1140,2021-06-30T00:00:00Z
Glastonbury,34482,25444,2021-06-30T00:00:00Z
Goshen,2863,1881,2021-06-30T00:00:00Z
Granby,11507,7488,2021-06-30T00:00:00Z
Greenwich,62840,42329,2021-06-30T00:00:00Z
Griswold,11534,5707,2021-06-30T00:00:00Z
Groton,38436,20472,2021-06-30T00:00:00Z
Guilford,22133,16391,2021-06-30T00:00:00Z
Haddam,8193,5846,2021-06-30T00:00:00Z
Hamden,60556,36506,2021-06-30T00:00:00Z
Hampton,1842,1030,2021-06-30T00:00:00Z
Hartford,122105,53395,2021-06-30T00:00:00Z
Hartland,2120,1130,2021-06-30T00:00:00Z
Harwinton,5420,3356,2021-06-30T00:00:00Z
Hebron,9504,6210,2021-06-30T00:00:00Z
Kent,2777,2241,2021-06-30T00:00:00Z
Killingly,17336,8429,2021-06-30T00:00:00Z
Killingworth,6364,4343,2021-06-30T00:00:00Z
Lebanon,7144,4280,2021-06-30T00:00:00Z
Ledyard,14621,8680,2021-06-30T00:00:00Z
Lisbon,4220,2371,2021-06-30T00:00:00Z
Litchfield,8094,5440,2021-06-30T00:00:00Z
Lyme,2316,1888,2021-06-30T00:00:00Z
Madison,18030,13561,2021-06-30T00:00:00Z
Manchester,57584,34563,2021-06-30T00:00:00Z
Mansfield,25487,8829,2021-06-30T00:00:00Z
Marlborough,6335,4203,2021-06-30T00:00:00Z
Meriden,59395,34047,2021-06-30T00:00:00Z
Middlebury,7798,5318,2021-06-30T00:00:00Z
Middlefield,4374,2860,2021-06-30T00:00:00Z
Middletown,46258,31034,2021-06-30T00:00:00Z
Milford,54747,35355,2021-06-30T00:00:00Z
Monroe,19434,12587,2021-06-30T00:00:00Z
Montville,18508,10038,2021-06-30T00:00:00Z
Morris,2254,1358,2021-06-30T00:00:00Z
Naugatuck,31108,17261,2021-06-30T00:00:00Z
New Britain,72495,33509,2021-06-30T00:00:00Z
New Canaan,20233,15093,2021-06-30T00:00:00Z
New Fairfield,13878,8350,2021-06-30T00:00:00Z
New Hartford,6656,4203,2021-06-30T00:00:00Z
New Haven,130250,67713,2021-06-30T00:00:00Z
New London,26858,13947,2021-06-30T00:00:00Z
New Milford,26805,17786,2021-06-30T00:00:00Z
Newington,30014,20357,2021-06-30T00:00:00Z
Newtown,27891,18820,2021-06-30T00:00:00Z
Norfolk,1630,999,2021-06-30T00:00:00Z
North Branford,14146,9651,2021-06-30T00:00:00Z
North Canaan,3251,1781,2021-06-30T00:00:00Z
North Haven,23683,17868,2021-06-30T00:00:00Z
North Stonington,5196,2849,2021-06-30T00:00:00Z
Norwalk,88816,58283,2021-06-30T00:00:00Z
Norwich,38768,20589,2021-06-30T00:00:00Z
Old Lyme,7306,5340,2021-06-30T00:00:00Z
Old Saybrook,10061,8165,2021-06-30T00:00:00Z
Orange,13926,9566,2021-06-30T00:00:00Z
Oxford,13255,8292,2021-06-30T00:00:00Z
Plainfield,15125,7211,2021-06-30T00:00:00Z
Plainville,17534,10597,2021-06-30T00:00:00Z
Plymouth,11598,6026,2021-06-30T00:00:00Z
Pomfret,4203,2518,2021-06-30T00:00:00Z
Portland,9267,6260,2021-06-30T00:00:00Z
Preston,4625,2685,2021-06-30T00:00:00Z
Prospect,9702,5966,2021-06-30T00:00:00Z
Putnam,9389,4741,2021-06-30T00:00:00Z
Redding,9116,5809,2021-06-30T00:00:00Z
Ridgefield,24959,17626,2021-06-30T00:00:00Z
Rocky Hill,20115,13976,2021-06-30T00:00:00Z
Roxbury,2152,1603,2021-06-30T00:00:00Z
Salem,4083,2444,2021-06-30T00:00:00Z
Salisbury,3600,3153,2021-06-30T00:00:00Z
Scotland,1672,843,2021-06-30T00:00:00Z
Seymour,16437,9809,2021-06-30T00:00:00Z
Sharon,2689,1763,2021-06-30T00:00:00Z
Shelton,41129,26271,2021-06-30T00:00:00Z
Sherman,3630,2198,2021-06-30T00:00:00Z
Simsbury,25395,18148,2021-06-30T00:00:00Z
Somers,10784,6021,2021-06-30T00:00:00Z
South Windsor,26162,18668,2021-06-30T00:00:00Z
Southbury,19571,13776,2021-06-30T00:00:00Z
Southington,43834,28962,2021-06-30T00:00:00Z
Sprague,2859,1446,2021-06-30T00:00:00Z
Stafford,11893,6061,2021-06-30T00:00:00Z
Stamford,129638,88372,2021-06-30T00:00:00Z
Sterling,3782,1524,2021-06-30T00:00:00Z
Stonington,18559,12338,2021-06-30T00:00:00Z
Stratford,51849,30090,2021-06-30T00:00:00Z
Suffield,15814,9708,2021-06-30T00:00:00Z
Thomaston,7535,4414,2021-06-30T00:00:00Z
Thompson,9379,3974,2021-06-30T00:00:00Z
Tolland,14618,9760,2021-06-30T00:00:00Z
Torrington,34044,20071,2021-06-30T00:00:00Z
Trumbull,35673,25117,2021-06-30T00:00:00Z
Union,839,486,2021-06-30T00:00:00Z
Vernon,29359,18547,2021-06-30T00:00:00Z
Voluntown,2510,1355,2021-06-30T00:00:00Z
Wallingford,44326,30048,2021-06-30T00:00:00Z
Warren,1395,912,2021-06-30T00:00:00Z
Washington,3428,2589,2021-06-30T00:00:00Z
Waterbury,107568,50757,2021-06-30T00:00:00Z
Waterford,18746,12963,2021-06-30T00:00:00Z
Watertown,21578,13578,2021-06-30T00:00:00Z
West Hartford,62965,47256,2021-06-30T00:00:00Z
West Haven,54620,30733,2021-06-30T00:00:00Z
Westbrook,6869,4821,2021-06-30T00:00:00Z
Weston,10252,7404,2021-06-30T00:00:00Z
Westport,28491,20195,2021-06-30T00:00:00Z
Wethersfield,26008,18630,2021-06-30T00:00:00Z
Willington,5864,3254,2021-06-30T00:00:00Z
Wilton,18343,13620,2021-06-30T00:00:00Z
Winchester,10604,5709,2021-06-30T00:00:00Z
Windham,24561,11891,2021-06-30T00:00:00Z
Windsor,28733,18878,2021-06-30T00:00:00Z
Windsor Locks,12854,7621,2021-06-30T00:00:00Z
Wolcott,16587,9934,2021-06-30T00:00:00Z
Woodbridge,8750,6489,2021-06-30T00:00:00Z
Woodbury,9502,6277,2021-06-30T00:00:00Z
Woodstock,7858,4552,2021-06-30T00:00:00Z
Andover,3236,2029,2021-07-07T00:00:00Z
Ansonia,18654,9585,2021-07-07T00:00:00Z
Ashford,4255,2510,2021-07-07T00:00:00Z
Avon,18276,14130,2021-07-07T00:00:00Z
Barkhamsted,3606,2286,2021-07-07T00:00:00Z
Beacon Falls,6222,3734,2021-07-07T00:00:00Z
Berlin,20436,13322,2021-07-07T00:00:00Z
Bethany,5548,3631,2021-07-07T00:00:00Z
Bethel,19800,11913,2021-07-07T00:00:00Z
Bethlehem,3402,2024,2021-07-07T00:00:00Z
Bloomfield,21211,14013,2021-07-07T00:00:00Z
Bolton,4884,3202,2021-07-07T00:00:00Z
Bozrah,2726,1502,2021-07-07T00:00:00Z
Branford,27900,19708,2021-07-07T00:00:00Z
Bridgeport,144399,68449,2021-07-07T00:00:00Z
Bridgewater,1635,1186,2021-07-07T00:00:00Z
Bristol,59947,35964,2021-07-07T00:00:00Z
Brookfield,16973,11401,2021-07-07T00:00:00Z
Brooklyn,8272,4242,2021-07-07T00:00:00Z
Burlington,9704,6375,2021-07-07T00:00:00Z
Canaan,1053,1046,2021-07-07T00:00:00Z
Canterbury,5079,2657,2021-07-07T00:00:00Z
Canton,10254,6963,2021-07-07T00:00:00Z
Chaplin,2239,1198,2021-07-07T00:00:00Z
Cheshire,28937,20697,2021-07-07T00:00:00Z
Chester,4213,2864,2021-07-07T00:00:00Z
Clinton,12925,9278,2021-07-07T00:00:00Z
Colchester,15809,10033,2021-07-07T00:00:00Z
Colebrook,1400,908,2021-07-07T00:00:00Z
Columbia,5379,3402,2021-07-07T00:00:00Z
Cornwall,1362,1074,2021-07-07T00:00:00Z
Coventry,12407,7682,2021-07-07T00:00:00Z
Cromwell,13839,10105,2021-07-07T00:00:00Z
Danbury,84694,51727,2021-07-07T00:00:00Z
Darien,21728,15936,2021-07-07T00:00:00Z
Deep River,4443,3152,2021-07-07T00:00:00Z
Derby,12339,8039,2021-07-07T00:00:00Z
Durham,7165,4900,2021-07-07T00:00:00Z
East Granby,5140,3444,2021-07-07T00:00:00Z
East Haddam,8997,5647,2021-07-07T00:00:00Z
East Hampton,12800,8090,2021-07-07T00:00:00Z
East Hartford,49872,29277,2021-07-07T00:00:00Z
East Haven,28569,16227,2021-07-07T00:00:00Z
East Lyme,18462,13004,2021-07-07T00:00:00Z
East Windsor,11668,6648,2021-07-07T00:00:00Z
Eastford,1790,965,2021-07-07T00:00:00Z
Easton,7521,5151,2021-07-07T00:00:00Z
Ellington,16467,10284,2021-07-07T00:00:00Z
Enfield,43659,23819,2021-07-07T00:00:00Z
Essex,6668,5070,2021-07-07T00:00:00Z
Fairfield,62045,41563,2021-07-07T00:00:00Z
Farmington,25497,19538,2021-07-07T00:00:00Z
Franklin,1920,1145,2021-07-07T00:00:00Z
Glastonbury,34482,25573,2021-07-07T00:00:00Z
Goshen,2863,1887,2021-07-07T00:00:00Z
Granby,11507,7519,2021-07-07T00:00:00Z
Greenwich,62840,42590,2021-07-07T00:00:00Z
Griswold,11534,5746,2021-07-07T00:00:00Z
Groton,38436,20609,2021-07-07T00:00:00Z
Guilford,22133,16439,2021-07-07T00:00:00Z
Haddam,8193,5881,2021-07-07T00:00:00Z
Hamden,60556,36763,2021-07-07T00:00:00Z
Hampton,1842,1035,2021-07-07T00:00:00Z
Hartford,122105,54094,2021-07-07T00:00:00Z
Hartland,2120,1140,2021-07-07T00:00:00Z
Harwinton,5420,3374,2021-07-07T00:00:00Z
Hebron,9504,6244,2021-07-07T00:00:00Z
Kent,2777,2242,2021-07-07T00:00:00Z
Killingly,17336,8484,2021-07-07T00:00:00Z
Killingworth,6364,4359,2021-07-07T00:00:00Z
Lebanon,7144,4314,2021-07-07T00:00:00Z
Ledyard,14621,8744,2021-07-07T00:00:00Z
Lisbon,4220,2387,2021-07-07T00:00:00Z
Litchfield,8094,5452,2021-07-07T00:00:00Z
Lyme,2316,1888,2021-07-07T00:00:00Z
