Town,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,4/09/20,4/10/20
Hartland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harwinton,0,0,1,2,4,4,4,4,4,4,4,4,4,5,5,5,6,6,7,7,7
Hebron,0,0,0,0,0,1,1,1,1,3,3,4,4,4,4,4,5,5,6,7,7
Kent,0,0,0,1,1,1,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5
Killingly,0,0,0,0,0,1,1,1,2,2,2,2,2,2,3,3,6,6,6,6,7
Killingworth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lebanon,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,4,5,6,6
Ledyard,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,3,4,4,3,3
Lisbon,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Litchfield,2,2,2,2,2,2,2,2,2,3,3,4,4,6,7,8,9,9,11,11,11
Lyme,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Madison,1,1,1,3,3,3,6,6,7,8,11,12,12,14,14,17,22,24,25,32,34
Manchester,1,4,5,5,6,8,12,12,16,19,23,28,36,51,61,62,80,87,103,110,120
Mansfield,0,1,1,1,1,1,1,1,0,1,1,1,1,2,2,2,2,3,4,5,5
Marlborough,0,0,0,0,0,0,2,2,2,2,2,3,3,3,5,5,5,5,7,8,9
Meriden,1,1,2,3,7,8,9,14,16,21,24,31,31,40,46,47,64,68,79,84,101
Middlebury,0,0,0,0,1,1,2,2,5,6,7,7,8,10,10,10,10,11,14,14,14
Middlefield,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,3,5
Middletown,1,1,1,1,2,3,6,6,12,18,19,24,29,35,42,42,52,56,64,77,94
Milford,2,2,3,6,8,8,15,11,12,15,17,20,23,56,58,63,77,113,130,154,172
Monroe,0,0,1,2,3,4,6,6,6,6,8,9,9,10,10,10,10,19,23,32,34
Montville,0,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,3,13,14,15
Morris,0,0,0,1,1,1,1,1,1,1,1,1,2,3,2,3,3,3,3,4,4
Naugatuck,0,0,0,2,3,6,7,7,7,7,9,13,13,20,26,28,37,38,50,56,60
New Britain,1,2,2,5,6,8,11,15,20,26,27,32,36,48,49,49,57,66,87,94,102
New Canaan,5,5,9,11,15,17,18,20,29,34,41,43,51,61,62,65,73,78,79,81,83
New Fairfield,1,3,4,7,12,13,16,17,25,30,30,32,32,47,49,51,57,61,62,62,63
New Hartford,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,6,7,7
New Haven,6,7,8,22,29,32,52,53,56,73,121,135,133,174,190,234,319,365,413,461,477
New London,0,0,0,0,0,0,1,1,1,1,2,2,3,6,12,11,12,13,16,21,22
New Milford,2,2,2,2,6,6,10,14,24,34,35,35,37,50,55,65,74,81,83,85,87
Newington,3,4,4,8,9,10,14,19,21,24,26,28,28,32,34,35,37,42,47,51,60
Newtown,0,1,1,5,12,14,16,22,26,28,33,33,33,48,48,49,53,55,54,55,58
Norfolk,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
